21D4,0E78,D1B4,CA88,FC23,18B7,E33F,0061,
21D9,17A8,DDA4,C408,F478,1FDA,E054,0061,
21DE,1C04,E304,C3A4,ECFA,29DE,DCE1,0061,
21E3,1708,E62C,D20C,EF76,3031,DAEE,0061,
21E8,17D8,ED18,DE88,F5EA,27A5,DC79,0061,
21ED,2188,FA94,D108,EB7E,22BA,ECEC,0061,
21F2,263C,F514,CF30,F15E,278E,F356,0061,
21F7,26F8,F55C,D544,EF37,2ACB,FF09,0061,
21FC,2708,EE84,DB64,F1F9,262B,0227,0061,
2201,3424,FAE0,CEE8,F502,2967,08A2,0061,
2206,36C4,F188,D88C,F8EC,2ACC,0F92,0061,
220B,3314,EDC0,E428,FF38,22DC,0FAD,0061,
2210,2FC0,EE50,E580,017C,1661,14F9,0061,
2215,2E5C,E8E4,E20C,FF9C,1171,22A7,0061,
221A,2804,D084,EE04,01C1,0985,2556,0061,
221F,2FCC,D454,DD28,070F,F794,10A7,0061,
2224,2CBC,CD9C,D388,FCF4,FAF2,0ADF,0061,
2229,297C,D220,D228,011E,FD67,F5CE,0061,
222E,21BC,CFC0,D948,0586,F8EF,E59F,0061,
2233,1E78,E4CC,CBA8,009F,FC70,E2C0,0061,
2238,1AB4,E6B0,CAA8,FF5A,061B,E0E3,0061,
223D,197C,EBB4,D060,FB4F,0EA2,EA68,0061,
2242,1F78,F07C,CB80,F8E7,0FC2,ED86,0061,
2247,2748,F1E0,C4D4,F24F,1D4A,F546,0061,
224C,29FC,F2D4,D060,F02A,2CB7,FE1B,0061,
2251,2F1C,F034,D980,EF70,2D67,0122,0061,
2256,2BAC,E1EC,E4FC,F41D,298D,0232,0061,
225B,339C,F088,DC9C,F918,2522,FBFE,0061,
2260,3448,EAFC,DE88,F212,2A95,0611,0061,
2265,34C8,E764,E468,F7C6,225F,04C6,0061,
226A,36B0,EABC,DFE8,F19F,256E,0F3D,0061,
226F,3A74,E804,DB34,EDA8,276C,1170,0061,
2274,3C6C,E654,DD20,E782,3272,1768,0061,
2279,420C,E900,E168,E568,369E,164C,0061,
227E,45C0,EE54,E3A8,DED0,3DA3,1BBE,0061,
2283,4078,E698,F474,DEB8,3E77,1ED7,0061,
2288,3A5C,DE3C,0158,E55A,3598,1B04,0061,
228D,3BA4,DD20,0500,F2E4,239D,0D0A,0061,
2292,3EB8,E1B8,00E0,F4A3,192B,0B71,0061,
